(233, 142, 132)
(249, 158, 148)
(255, 142, 136)
(248, 147, 127)
(178, 145, 121)
(237, 144, 114)
(241, 148, 118)
(204, 137, 110)
(213, 147, 133)
(254, 140, 118)
(255, 145, 123)
(239, 166, 137)
(203, 130, 101)
(178, 137, 123)
(207, 153, 149)
(240, 154, 123)
(233, 147, 116)
(236, 131, 102)
(255, 152, 123)
(255, 170, 138)
(253, 157, 125)
(206, 141, 106)
(202, 137, 102)
(203, 138, 103)
(255, 156, 138)
(246, 147, 129)
(152, 103, 75)
(202, 153, 125)
(221, 162, 129)
(204, 145, 112)
(240, 138, 134)
(207, 113, 108)
(223, 129, 124)
(199, 140, 127)
(200, 141, 128)
(229, 139, 125)
(221, 147, 139)
(210, 143, 127)
(213, 150, 134)
(208, 136, 121)
(187, 115, 100)
(242, 140, 127)
(221, 151, 137)
(220, 150, 136)
(249, 148, 130)
(239, 138, 120)
(244, 137, 125)
(200, 131, 122)
(237, 132, 131)
(235, 146, 144)
(226, 151, 148)
(180, 126, 121)
(193, 139, 134)
(255, 160, 136)
(217, 134, 106)
(235, 152, 124)
(242, 149, 126)
(226, 133, 110)
(162, 140, 122)
(167, 145, 127)
(223, 135, 110)
(230, 142, 117)
(159, 127, 115)
(233, 145, 120)
(247, 159, 134)
(228, 140, 115)
(243, 150, 120)
(206, 139, 112)
(255, 165, 143)
(242, 156, 125)
(249, 144, 115)
(255, 150, 121)
(249, 153, 121)
(245, 146, 128)
(228, 129, 111)
(225, 166, 133)
(208, 149, 116)
(204, 148, 121)
(204, 130, 122)
(220, 146, 138)
(242, 140, 136)
(241, 139, 135)
(228, 138, 124)
(235, 145, 131)
(194, 149, 135)
(219, 145, 137)
(255, 168, 152)
(241, 139, 126)
(204, 143, 130)
(255, 165, 153)
(250, 143, 131)
(255, 160, 159)
(255, 155, 154)
(232, 143, 141)
(242, 144, 120)
(249, 151, 127)
(219, 136, 108)
(239, 156, 128)
(224, 136, 111)
(182, 94, 69)
(238, 150, 125)
(172, 145, 125)
(242, 144, 112)
